Words,Definition,Star
Artifact,Item made by human craft,
Artless,Guilesless; natural,Y
Ascetic,One who practices self-denial,Y
Asperity,Severity; harshness; irritability,
Aspersion,Slander; false rumor,Y
Assiduous,Diligent; hard-working,Y
Assuage,To make less severe,
Astringent,Harsh; severe,
Asylum,Place of refuge or shelter,
Atavism,Return of a trait after a period of absence,
Attenuate,To weaken,Y
Audacious,Bold; daring,Y
Austere,Stern; unadorned,Y
Autonomous,Self-governing; independent,
Avarice,Greed,
Aver,To affirm; declare to be true,Y
Avocation,Secondary occupation,
Avuncular,Like an uncle; benevolent and tolerant,
Axiomatic,Taken for granted,
Bacchanalian,Pertaining to riotous or drunken festivity; pertaining to revelry,
Banal,Commonplace; trite,Y
Banter,Playful conversation,
Bard,Poet,
Bawdy,Obscene,
Beatify,To sanctify; to bless; to ascribe virtue to,
Bedizen,"To dress in a vulgar, showy manner",
Behemoth,Huge creature; anything very large and powerful,
Belie,To contradict; misinterpret; give a false impression,Y
Beneficent,Kindly; doing good,Y
Bifurcate,To divide into two parts,
Blandishment,Flattery,
Blase,Bored because of frequent indulgence; unconcerned,
Bolster,To give a boost to; prop up; support,
Bombastic,Pompous; using inflated language,Y
Boorish,Rude; insensitive,Y
Bovine,cowlike,
Brazen,Bold; shameless,
Broach,To mention for the first time,
Bucolic,Characteristic of the countryside; rustic; pastoral,
Burgeon,To flourish,Y
Burnish,To polish,Y
Buttress,To reinforce; support,Y
Cacophonous,Unpleasant or harsh-sounding,
Cadge,To beg; sponge,
Callous,Thick-skinned; insensitive,
Calumny,Flase and malicious accusation; slander,
Canard,"False, deliberately misleading story",
Canon,An established principle; a basis or standard for judgement; a group of literary works,
Cant,Insincere talk; language of a particular group,Y
Cantankerous,Irritable; ill-humored,
Capricious,Fickle,Y
Captious,"Faultfinding; intended to entrap, as in an argument",
Cardinal,Of foremost importance,
Carnal,Of the flesh or body; related to physical appetites,
Carping,To find fault; complain,
Cartography,Science of making maps,
Caste,Any of the hereditary social classes of Hindu society; social stratification,
Castigation,Punishment; chastisement; criticism,Y
Cataclysm,A violent upheaval that causes great destruction and change,
Catalyst,Something causing change,Y
Categorical,Absolute; without exception,
Caucus,Smaller group within an organization,
Causal,Involving a cause,
Caustic,Sarcastically biting; burning,
Celestial,Concerning the sky or heavens; sublime,
Centrifugal,Moving away from a center,
Centripetal,Moving or directed toward a center,
Champion,To defend or support,
Chasten,To correct by punishment or reproof; to restrain or subdue,
Chicanery,Trickery; fraud,Y
Chivalry,The qualities idealized by knighthood such as bravery and gallantry towards women,
Churlish,Rude; boorish,
Circuitous,Roundabout,
Clairvoyant,One who can predict the future; psychic,
Clamor,Noisy outcry,
Clique,"A small, exclusive group",
Cloister,To confine; seclude,
Coagulate,Thicken; congeal,Y
Coalesce,To cause to become one,
Coda,A concluding part of a literary or musical composition; something that summarizes or concludes,
Codify,To sytematize,
Cognizant,Informed; conscious; aware,
Collage,Artistic composition of materials pasted over a surface; an assemblage of diverse elements,
Commensurate,Proportional,Y
Compendium,"Brief, comprehensive summary",Y
Complacent,Self-satisfied,
Complaisant,Overly polite; willing to please; obliging,Y
Complement,Something that completes or makes up a whole,
Compliant,Yielding,
Compunction,Uneasiness caused by guilt,
Concave,Curving inward,
Conciliatory,Overcoming distrust or hostility,Y
Concoct,To invent,
Concomitant,Existing concurrently,
Condone,To overlook voluntarily; forgive,
Confound,To baffle; perplex; mix up,Y
Congenial,Similar in tastes and habits; friendly; suited to,
Conjugal,Pertaining to marriage agreement,
Connoisseur,A person possessing expert knowledge or training; a person of informed and discriminating taste,
Conscript,Person compulsorily enrolled for military service,
Consecrate,To declare sacred,
Contend,To assert,
Contentious,Quarrelsome; causing quarrels,Y
Contiguous,Touching; neighboring; connecting without a break,
Continence,Self-control; abstention from sexual activity,
Contrite,Very sorrowful for a wrong,
Contumacious,Disobedient; rebellious,
Conundrum,Riddle; puzzle with no solution,Y
Convention,Practice widely observed in a group; custom; accepted technique or device,
Converge,To approach; come together; tend to meet,
Convex,Curved outwards,
Convivial,Sociable,
Convoluted,Twisted; complicated,Y
Copious,Abundant; plentiful,
Coquette,Woman who flirts,
Cornucopia,Horn overflowing with fruit and grain; state of abundance,
Cosmology,Study of the universe as a totality; theory of the origin and structure of the universe,Y
Covert,Hidden; secret,
Covetous,Desiring something owned by another,
Cozen,To mislead by trick or fraud; deceive,
Craven,Cowardly,Y
Credence,Acceptance of something as true,Y
Credo,Statement of belief or principle; creed,
Daunt,To discourage; intimidate; dishearten,
Dearth,Scarcity,
Debauchery,Corruption,
Decorum,Proper behavior,Y
Defame,To malign; harm someone's reputation,
Default,To fail to act,
Deference,Respect; regard for another's wish,Y
Defunct,No longer existing,
Delineate,To represent or depict,
Demographic,Related to population balance,
Demotic,Pertaining to people,Y
Demur,To express doubt,Y
Denigrate,To slur someone's reputation,Y
Denizen,An inhabitant; a regular visitor,
Denouement,Outcome; unraveling of the plot of a play or work of literature,Y
Deride,To mock,
Derivative,Something derived; unoriginal,Y
Desiccate,To dry completely,Y
Desuetude,State of disuse,
Desultory,Random; disconnected; rambling,Y
Deterrent,Something that discourages or hinders,
Detraction,The act of taking away; derogatory comment on a person's character,
Diaphanous,Transparent; fine-textured; insubstantial; vague,
Diatribe,Bitter verbal attack,Y
Dichotomy,Division into two usually contradictory parts,
Diffidence,Shyness; lack of confidence,Y
Diffuse,To spread out,Y
Digression,Act of straying from the main point,
Dirge,Funeral Hymn,
Disabuse,To free from a misconception,Y
Discerning,Perceptive; exhibiting keen insight and good judgement,
Discomfit,To make uneasy; disconcert,
Discordant,Not in tune,Y
Discredit,To dishonor; disgrace; cause to be doubted,
Discrepancy,Difference between,Y
Discrete,Constituting a seperate thing; distinct,Y
Discretion,Quality of showing self-restraint in speech or actions; circumspection; freedom to act on one's own,
Disingenuous,Not candid; crafty,Y
Disinterested,Unprejudiced; objective,Y
Disjointed,Lacking order or coherence; dislocated,
Dismiss,Put away from consideration; reject,Y
Disparage,To belittle,Y
Disparate,Dissimilar,Y
Dissemble,To pretend; disguise one's motives,Y
Disseminate,To spread; scatter; disperse,Y
Dissident,"Person who disagrees about beliefs, etc",
Dissolution,Disintegration; debauchery,Y
Dissonance,Discord; lack of harmony,Y
Distend,To expand; swell out,
Distill,Extract the essential elements,
Distrait,Inattentive; preoccupied,
Diverge,To vary; go in different directions from the same point,
Divest,To strip; deprive; rid,
Divulge,To make known something that is secret,
Doctrinaire,Relating to a person who cannot compromise about points of theory or doctrine; dogmatic; unyielding,Y
Document,To provide with written evidence to support,
Doggerel,Poor verse,
Dogmatic,Stating opinions without proof,Y
Dormant,Inactive,
Dross,Waste; worthless matter; trivial matter,
Dupe,To deceive; trick,
Ebullient,Exhilarated; enthusiastic,Y
Eclectic,Selecting from various sources,Y
Effervesence,State of high spirits or liveliness; the process of bubbling as gas escapes,
Effete,Depleted of vitality; overrefined; decadent,Y
Efficacy,Efficiency; effectiveness,Y
Effrontery,Shameless boldness; presumptuousness,Y
Egoism,The tendency to see things in relation to oneself; self-centeredness,
Egotistical,Excessively self-centered; conceited,
Elegy,A poem or song expressing lamentation,Y
Elicit,To provoke; draw out,Y
Elixir,A substance believed to have the power to cure ills,
Elysian,Blissful; delightful,
Emaciated,Thin and wasted,
Embellish,To adorn; decorate; enhance; make more attractive by adding details,
Emollient,Soothing; mollifying,
Empirical,Derived from observation or experiment,Y
Emulate,To imitate; copy,Y
Encomium,A formal expression of praise,
Endemic,Inherent; belonging to an area,Y
Enervate,To weaken,Y
Engender,To cuase; produce,
Enhance,To increase; improve,
Entomology,The scientific study of insects,
Enunciate,To pronounce clearly,
Ephemeral,Short-lived; fleeting,Y
Epistemology,Branch of philosophy that examines the nature of knowledge,
Equable,Steady; unvarying; serene,
Equanimity,Compsure; calmness,Y
Equivocate,To intentionally use vague language,Y
Errant,Mistaken; straying from the proper course,
Erudite,Learned; scholarly,Y
Esoteric,Hard to understand; known only to a few,Y
Essay,To make an attempt; subject to a test,
Estimable,Admirable; possible to estimate,
Ethnocentric,Based on the attitude that one's group is superior,
Etiology,Causes or origins,
Etymology,Origin and history of a word,
Eugenics,Study of factors that influence the hereditary qualities of the human race and ways to improve these qualities,
Eulogy,"High praise, especially of a person who has recently died",
Euphenism,Use of agreeable or inoffensive language in place of unpleasant or offensive language,Y
Euphoria,A feeling of extreme happiness,
Euthanasia,Mercy killing,
Evince,To show plainly; be an indication of,
Evocative,Tending to call to mind or produce a reaction,
Exacerbate,To aggravate; make worse,Y
Exact,To force the payment of; demand and obtain by authority,
Exculpate,To clear of blame; vindicate,Y
Execrable,Detestable; abhorrent,Y
Exhort,To urge by strong appeals,
Exigency,Crisis; urgent requirements,
Existential,Having to do with existence; based on experience; having to do with the philosophy of existenialism,Y
Exorcise,To expel evil spirits; free from bad influences,
Expatiate,To speak or write at length,
Expatriate,To send into exile,
Expiate,To atone for,
Explicate,To explain; interpret; clarify,
Expository,Explanatory,
Extant,In existence; not lost,
extemporaneous,Unrehearsed,
Extirpate,To root up; to destroy,
Extraneous,Not essential,Y
Extrapolation,The act of estimation by projecting known information,
Extrinsic,Not inherent or essential,
Facetious,Humorous,Y
Facilitate,To make less difficult,
Factotum,A person who does all sorts of work; a handyman,
Fallacious,Based on a false idea or fact; misleading,
Fallow,Plowed but not sowed; uncultivated,
Fatuous,Foolishly self-satisfied,Y
Fauna,Animals of a period or region,
Fawning,Seeking favor by flattering,
Felicitous,Suitably expressed; appropriate; well chosen,Y
Feral,Existing in a wild or untamed state,
Fervor,Warmth and intensity of emotion,
Fetid,Having a bad smell,
Fetter,To bind; confine,
Fiat,Arbitrary order; authorization,
Fidelity,Loyalty; exact correspondence,
Filibuster,Use of obstructive tactics in a legislature to block passage of a law,
Finesse,"To handle with a deceptive or evasive strategy; to use finesse, that is, refinement in performance",
Fissure,Crevice,
Flag,To droop; grow weak,
Fledgling,Beginner; novice,Y
Flora,Plants of a region or era,
Florid,Ruddy; reddish; flowery,
Flourish,An embellishment or ornamentation,
Flout,To treat scornfully,
Flux,Flowing; a continuous moving,
Foment,To incite; arouse,Y
Forbearance,Patience,
Forestall,To prevent; delay,
Formidable,Menacing; threatening,
Forswear,To renounce; repudiate,
Founder,To sink; fail; collapse,
Fracas,A loud quarrel; brawl,
Fractious,Quarrelsome; unruly; rebellious,Y
Fresco,A painting done on plaster,
Frieze,Ornamental band on a wall,
Froward,Stubbornly contrary; obstinately disobedient,
Frugality,Thrift,Y
Fulminate,To attack loudly; denounce,Y
Fulsome,So excessive as to be disgusting,
Fusion,Union; synthesis,
Futile,Ineffective; useless; fruitless,
Gainsay,To deny; dispute; oppose,Y
Gambol,To frolic; leap playfully,
Garrulous,Very talkative; wordy,Y
Gauche,Coarse and uncouth; clumsy,
Geniality,Cheerfulness; kindliness; sociability,
Gerrymander,To divide an area into voting districts in a way that favors a political party,
Glib,Fluent in an insincere way; offhand,
goad,To prod; urge on,
Gossamer,"Sheer; light and delicate, like cobwebs",
Gouge,To tear out; scoop out; overcharge,
Grandiloquent,Pompous; bombastic,Y
Gregarious,Sociable,Y
Grouse,To complain,
Guileless,Free of cunning or deceit; artless,Y
Guise,Outward appearance; false appearance; pretense,
Gullible,Easily deceived,Y
Gustatory,Affecting the sense of taste,
Halcyon,Calm and peaceful; happy; golden; prosperous,
Hallowed,Holy; sacred,
Harrangue,"Long, pompous speech; tirade",
Harrowing,Extremely distressing; terrifying,
Herbivorous,"Relating to a herbivore, an animal that feeds mainly on plants",
Hermetic,Tightly sealed; magical,
Heterodox,Unorthodox; not widely accepted,Y
Hieroglyphics,A system of writing in which pictorial symbols represent meaning or sounds; writing or symbols that are difficult to decipher; the symbols used in advanced mathematics,
Hirsute,Covered with hair,
Histrionic,Relating to exaggerated emotional behavior calculated for effect; theatrical arts or performances,Y
Homeostasis,"Automatic maintenance by an organsim of normal temperature, chemical balance, etc within itself",
Homily,Sermon; tedious moralizing lecture; platitude,Y
Homogenous,Composed of identical parts; uniform in composition,Y
Hyperbole,Purposeful exaggeration for effect,Y
Iconoclastic,Attacking cherished traditions,Y
Ideological,"Relating to ideology, the set of ideas that form the basis of a political or economic system",Y
Idolatry,Idol worship; blind or excessive devotion,Y
Igneous,Produced by fire; volcanic,Y
Imbroglio,Complicated situation; an entanglement,
Immutable,Unchangeable,Y
Impassive,Showing no emotions,Y
Impecunious,Poor; having no money,
Impede,To hinder; block,
Impermeable,Impossible to penetrate,Y
Imperturbable,Not easily disturbed,Y
Impervious,Impossible to penetrate; incapable of being affected,Y
Impinge,To strike; encroach,
Implacable,Inflexible; incapable of being pleased,Y
Implausible,Unlikely; unbelievable,
Implict,Implied; understood but not stated,Y
Implode,Collapse inward violently,
Imprecation,Curse,
Impute,To relate a particular cause or source; attribute the fault to; assign as a characteristic,
Inadvertently,Carelessly; unintentionally,Y
Incarnate,Having bodily form,
Inchoate,Imperfectly formed or formulated,Y
Incongruity,State of not fitting,Y
Inconsequential,Insignificant; unimportant,
Incorporate,Introduce something into another thing already in existence; combine,
Incursion,Sudden invasion,
Indeterminate,Uncertain; indefinite,Y
Indigence,Poverty,Y
Indolant,Habitually lazy; idle,Y
Ineluctable,Not to be avoided or escaped; inevitable,Y
Inert,Unable to move; sluggish,Y
Ingenuous,Naive and trusting; lacking sophistication,Y
Inherent,Firmly established by nature or habit,Y
Innocuous,Harmless,Y
Insensible,Unconcious; unresponsive,Y
Insinuate,To suggest; say indirectly; imply,Y
Insipid,Lacking flavor; dull,Y
Insouciant,Indifferent; lacking concern or care,
Insularity,Narrow-mindedness; isolation,Y
Insuperable,Insurmountable; unconquerable,
Intangible,Not material,
Interdict,"To forbid; prohibit; To confront and halt the activities, advance, or entry of",
Internecine,Deadly to both sides,
Interpolate,To insert; change by adding new words or material,
Interregnum,Interval between reigns; gap in continuity,
Intimate,Marked by close acquaintance,
Intractable,Not easily managed,Y
Intransigence,Stubbornness; refusal to compromise,
Introspective,Contemplating one's own thoughts and feelings,
Inundate,To cover with water; overwhelm,Y
Inured,Hardened; accustomed; used to,Y
Invective,Verbal abuse,Y
Inveigh,To disapprove; protest vehemently,
Inveigle,To win over by flattery or coaxing,
Inveterate,Confirmed; long-standing; deeply rooted,
Invidious,Likely to provike ill will; offensive,
Irascible,Easily angered,Y
Irresolute,Unsure of how to act; weak,Y
Itinerant,Wandering from place to place; unsettled,
Itinerary,Route of a traveler's journey,
Jaundiced,"Having a yellowish discoloration of the skin; affected by envy, resentment, or hostility",
Jibe,To be in agreement,
Jocose,Fond of joking; jocular; playful,
Juggernaut,Huge force destorying everything in its path,
Junta,Group of people united in political intrigue,
Juxtapose ,Place side by side,Y
Kudos,Fame; glory; honor,
Labile,Likely to change,
Laconic,Using few words,Y
Lambaste,To thrash verbally or physically,
Lascivious,Lustful,
Lassitude,Lethargy; sluggishness,Y
Latent,Present but hidden; potential,
Laud,To praise,Y
Lethargic,Inactive,Y
Levee,An embankment that prevents a river from overflowing,
Levity,Light manner or attitude,Y
Liberal,Tolerant; broad-minded; generous; lavish,
Libertine,One without moral restraint,
Libido,Sexual desire,
Lilliputian,Extremely small,
Limn,To draw; describe,
Limpid,Clear; transparent,Y
Lingusitic,Pertaining to language,
Litany,Lengthy recitation; repetitive chant,
Literati,Scholarly or learned persons,
Litigation,Legal Proceedings,
Log,Record of a voyage; record of daily activities,
Loquacious,Talkative,Y
Lucid,Bright; clear; intelligible,Y
Lucre,Money or ptofits,
Luminous,Bright; brilliant; glowing,
Lustrous,Shining,
Machiavellian,Crafty; double-dealing,
Machinations,Plots or schemes,
Maelstrom,Whirlpool; turmoil,
Magnanimity,Generosity; nobility,Y
Malign,To speak evil of,
Malinger,To feign illness to escape duty,Y
Malleable,Capable of being shaped by pounding; impressionable,Y
Maverick,Dissenter,Y
Megalomania,Delusions of power or importance,
Menagerie,A variety of animals kept together,
Mendacious,Dishonest,Y
Mendicant,Beggar,
Meretricious,Gaudy; plausible but false; specious,Y
Mesmerize,To hypnotize,
Metamorphosis,Change; transform,Y
Metaphysics,Branch of philosophy that investigates the ultimate nature of reality,
Meteoroligical,Concerned with the weather,
Meticulous,Very careful; fastidious,Y
Mettle,Courage; endurance,
Mettlesome,Full of courage and fortitude; spirited,
Microcosm,A small system having analogies to a larger system; small world,
Militate,Work against,
Minatory,Threatening; menacing,
Minuscule,Very small,
Minutia,Petty details,
Misanthrope,One who hates humanity,Y
Miscellany,Mixture of writings on various subjects,
Miscreant,Villain; criminal,
Misogynist,One who hates women,Y
Mitigate,"To cause to become less harsh, sever or painful; alleviate",Y
Mnemonic,Related to memory; assisting memory,
Modicum,Limited quantity,
Mollify,To smooth,Y
Monolithic,"Solid and uniform; constituting a single, unified whole",
Morose,Ill-humored; sullen,Y
Motley,Many colored; made up of many parts,
Multifarious,Diverse,
Mundane,Worldly as opposed to spiritual; concerned with the ordinary,Y
Necromancy,Black magic,
Negate,To cancel out; nullify,
Neologism,New word or expression,
Neophyte,Npvice; beginner,Y
Nexus,A means of connection; a connected group or series; a center,
Nonplussed,Bewildered,
Nostalgia,Sentimental longing for a past time,
Nostrum,Medicine or remedy of doubtful effectiveness; supposed cure,
Nugatory,Trifling; invalid,
Obdurate,Stubborn,Y
Obsequious,Overly submissive,Y
Obsequy,"Funeral ceremony (often used in the plural, obsequies)",
Obviate,To make unnecessary; to anticipate and prevent,Y
Occlude,To shut; block,Y
Occult,Relating to practices connected with supernatural phenomena,
Odyssey,"A long, adventrous voyage; a quest",
Officious,Too helpful; meddlesome,Y
Olfactory,Concerning the sense of smell,
Oligarchy,From of government in which power belongs to only a few leaders,
Onerous,Burdensome,Y
Onomatopoeia,Formation or use of words that imitate sounds of the actions they refer to,
Opprobrium,Disgrace; contempt,Y
Ornithologist,Scientist who studies birds,
Oscillate,To move back and forth,Y
Ostentatious,Showy; trying to attract attention; pretentious,Y
Overweening,Presumptuous; arrogant; overbearing,
Paean,Song of joy or triumph; a fervent expression of joy,
Paleontology,Study of past geological eras through fossil remains,
Pallid,Lacking color or liveliness,
Panegyric,Elaborate praise; formal hymn of praise,
Paragon,Model of excellence or perfection,Y
Partisan,"One-sided; committed to a party, group, or cause; prejudiced",Y
Pathological,Departing from normal condition,Y
Patois,A regional dialect; nonstandard speech; jargon,
Paucity,Scarcity,Y
Pedantic,Showing off learning,Y
Pellucid,Transparent; translucent; easily understood,Y
Penchant,Inclination,Y
Penury,Extreme poverty,Y
Peregrination,A wandering from place to place,
Peremptory,Imperative; leaving no choice,
Perennial,Present throughout the years; persistent,
Perfidious,Faithless; disloyal; untrustworthy,Y
Perfunctory,Superficial; not thorough; performed really as a duty,Y
Perigee,Point in an orbit that is closest to the Earth,
Permeable,Penetrable,Y
Perturb,To disturb greatly; make uneasy or anxious; cause a body to deviate from its regular orbit,
Pervasive,Spread throughout every part,Y
Petulant,Rude; peevish,
Phlegmatic,Calm in temperment; sluggish,Y
Phoenix,"Mythical, immortal bird that lives for 500 years, burns itself to death, and rises from its ashes; anything that is restored after suffering great destruction",
Physiognomy,Facial features,
Piety,Devoutness,Y
Piquant,Appealingly stimulating; pleasantly pungent; attractive,
Pique,Fleeting feeling of jurt pride,
Placate,To lessen another's anger; to pacify,Y
Placid,Calm,
Plaintive,Melancholy; mournful,
Plasticity,Condition of being able to be shaped or formed; pliability,Y
Platitude,"Stal, overused expression",Y
Platonic,Spiritual; without sensual desire; theoretical,
Plethora,Excess; overabundance,Y
Plumb,To determine the depth; to examine deeply,
Plummet,To fall; plunge,
Plutocracy,Society ruled by the wealthy,
Porous,Full of holes; permeable to liquids,
Poseur,Person who affects an attitude or identity to impress others,
Pragmatic,Practical,Y
Prate,To talk idly; chatter,
Prattle,"Meaningless, foolish talk",
Preamble,Preliminary statement,
Precarious,Uncertain,Y
Precept,Principle; law,
Precipitate,To cause to happen; throw down from a height OR rash; hasty; sudden,Y
Place,Holder,Y
Precursor,Forerunner; predecessor,Y
Preempt,To supersede; appropriate for oneself,
Prehensile,Capable of grasping,
Premonition,Forewarning; presentiment,
Presage,To foretell; indicate in advance,
Presumptuous,Rude; improperly bold; readiness to presume,Y
Preternatural,Beyond the normal course of nature; supernatural,
Prevaricate,To quibble; evade the truth,Y
Primoridal,Original; existing from the beginning,
Pristine,Untouched; uncorrupted,Y
Probity,Honesty; high-mindedness,Y
Problematic,Posing a problem; doubtful; unsettled,Y
Prodigal,Wasteful; extravagant; lavish,Y
Profound,Deep; not superficial,Y
Prohibitive,So high as to prevent the purchase or use of; preventing; forbidding,
Proliferate,To increase rapidly,Y
Propensity,Inclination; tendency,Y
Propitiate,To win over; appease,Y
Propriety,Correct conduct; fitness,Y
Proscribe,To condemn; forbid; outlaw,Y
Provident,Providing for future needs; frugal,
Puissant,Powerful,
Punctilious,Careful in observing rules of behavior or ceremony,
Pungent,Strong or sharp in smell or taste; penetrating; caustic; to the point,
Purport,To profess; suppose; claim,
Pusillanimous,Cowardly,
Quagmire,Marsh; difficult situation,
Quail,To cower; lose heart,
Qualified,Limited; restricted,Y
Qualm,Sudden feeling of faintness or nausea; uneasy feeling about the rightness of actions,
Query,To question,
Quibble,To argue over insignificant and irrelevant details,
Quiescent,Inactive; still,Y
Quorum,Number of members necessary to conduct a meeting,
Raconteur,"Witty, skillful storyteller",
Rail,To scold with bitter or abusive language,
Raiment,Clothing,
Ramification,Implication; outgrowth; consequence,
Rarefied,Refined,Y
Rationale,Fundamental reason,
Rebus,Puzzle in which pictures or symbols represent words,
Recalcitrant,Resisting authority or control,Y
Recant,To retract a statement or opinion,Y
Recluse,A person who lives in seclusion and often in solitude,
Recondite,Abstruse; profound,Y
Redoubtable,Formidable; arousing fear; worthy of respect,
Refractory,Stubborn; unmanageable; resisting ordinary methods of treatment,Y
Refulgent,Brightly shining; resplendent,
Refute,To contradict; disprove,Y
Regale,To entertain,
Relegate,To consign to an inferior position,
Remonstrate,To object or protest,
Renege,To go back on one's word,
Reparation,Amends; compensation,
Repine,Fret; complain,
Reprise,"Repetition, especially of a piece of music",
Reproach,To find fault with; blame,
Reprobate,Morally unprincipled person,Y
Repudiate,To reject as having no authority,Y
Rescind,To cancel,Y
Resolution,Determination; resolve,Y
Resolve,Determination; firmness of purpse,Y
Reticent,Not speaking freely; reserved; reluctant,Y
Reverent,Expressing deep respect; worshipful,
Riposte,A retaliatory action or retort,
Rococo,Excessively ornate; highly decorated; style of architecture in 18th-century Europe,
Rubric,Tile or heading; category; established mode of procedure or conduct; protocol,
Rue,To regret,
Ruse,Trick; crafty stratagem; subterfuge,
Sage,Wise,Y
Salacious,Lascivious; lustful,
Salubrious,Healthful,Y
Salutary,Expecting improvement; favorable to health,Y
Sanction,To approve; ratify; permit,Y
Sardonic,Cynical; scornfully mocking,
Sartorial,Pertaining to tailors,Y
Satiate,To satisfy,Y
Saturate,To soak throughly; imbue throughout,
Saturnine,Gloomy,
Satyr,"A creature that is half-man, half-beast with the horns and legs of a goat; it is a follower of Dionysos; a lecher",
Savor,To enjoy; have a distinctive flavor or smell,
Schematic,Relating to or in the form of an outline or diagram,
Secrete,Produce and release substance into organism,
Sedition,Behavior prompting rebellion,
Sedulous,Diligent,
Seismic,Relating to earthquakes; earthshaking,
Sensual,"Relating to the senses; gratifying the physical senses, especially sexual appetites",Y
Sensuous,Relating to the senses; operating through the senses,Y
Sentient,Aware; concious; able to perceive,Y
Servile,Submissive; obedient,
Sextant,Navigation tool that determines latitude and longitude,
Shard,A piece of broken glass or pottery,
Sidereal,Relating to the stars,
Simian,Apelike; relating to apes,
Simile,"Comparison of one thing with abother using ""like"" or ""as""",
Sinecure,Well-paying job or office that requires little or no work,
Singular,Unique; extraordinary; odd,
Sinuous,Winding; intricate; complex,
Skeptic,One who doubts,Y
Sobriety,Seriousness,
Sodden,Thoroughly soaked; saturated,
Solicitous,Concerned; attentive; eager,Y
Soliloquy,Long speech given to oneself,
Solvent,Able to meet financial obligations,
Somatic,Relating to or affecting the body; corporeal,
Soporific,Sleeo producing,Y
Sordid,Filthy; contemptible and corrupt,
Specious,"Seeming to be logical and sound, but not really so",Y
Spectrum,Band of colors produced when sunlight passes through a prism; a broad range of related ideas or objects,
Spendthrift,Person who spends money recklessly,
Sporadic,Irregular,Y
Squalor,"Filthy, wretched condition",
Staccato,"Marked by abrupt, clear-cut sounds",
Stanch,To stop or check the flow of,
Stentorian,Extremely loud,
Stigma,Mark of disgrace or inferiority,Y
Stint,To be sparing,
Stipulate,To specify an essential condition,Y
Stolid,Having or showing little emotion,Y
Stratified,Arranged in layers,
Striated,"Marked with thin, narrow grooves or channes",Y
Stricture,Something that restrains; negative criticism,
Strident,Loud; harsh; unpleasantly noisy,
Strut,To swagger; display to impress others,
Stultify,To impair or reduce to uselessness,
Stupefy,To dull the senses of; stun; astonish,
Stygian,Dark and gloomy; hellish,
Subpoena,Notice ordering someone to appear in court,
Subside,To settle down; grow quiet,
Substantiate,To support with proof or evidence,Y
Substantive,Essential; pertaining to the substance,
Subsume,To include; incorporate,Y
Subversive,"Intended to undermine or overthrow, especially an established government",
Succor,Relief; help in time of distress or want,
Suffrage,The right to vote,
Sundry,Various,
Supersede,"To replace, especially to displace as inferior or antiquated",Y
Supine,Lying on the back; marked by lethargy,
Supplant,To replace; substitute,
Suppliant,Beseeching,
Supplicant,One who asks humbly and earnestly,
Supposition,The act of assuming to be true or real,Y
Syllogism,"A form of deductive reasoning that has a major premise, a minor premise, and a conclusion",
Sylvan,Related to the woods or forest,
